Date,ice_days,frost_days,cdd,cwd,r99p,r95p,wsdi,csdi,sdii,gsl,r10mm,r20mm,prcptot,Municipality
1950,0,17,14,128,120.702245,1471.724163,14,0,16.687487,365,122,73,4455.55903,Aandhikhola
1951,0,12,8,91,221.2091717,980.0176822,0,9,12.69946442,365,99,52,3543.150574,Aandhikhola
1952,0,11,13,81,277.4677102,1115.231021,0,6,12.69928654,366,104,46,3720.890955,Aandhikhola
1953,0,25,13,60,838.73123,1334.267187,7,11,13.0185142,362,94,43,3775.369118,Aandhikhola
1954,0,15,20,141,621.725373,2281.973971,8,13,18.87830502,365,106,65,4587.42812,Aandhikhola
1955,0,33,13,120,773.5129035,1507.45321,35,22,16.43256862,363,89,48,3582.29996,Aandhikhola
1956,0,24,17,117,562.4875572,1638.571034,24,0,14.39284289,366,86,43,3612.603565,Aandhikhola
1957,0,16,19,62,1564.819522,2196.244034,31,7,17.68440722,365,83,51,4085.098068,Aandhikhola
1958,0,2,21,89,1432.87242,2359.154929,33,7,17.72825178,365,90,53,4432.062945,Aandhikhola
1959,0,4,15,38,571.520589,1513.888201,25,0,14.44246711,365,94,49,3668.386647,Aandhikhola
1960,0,11,32,110,510.304841,1015.199641,50,6,13.33450048,366,75,35,2853.583102,Aandhikhola
1961,0,25,21,57,841.004454,1670.331393,14,9,15.1834676,365,90,46,3780.683433,Aandhikhola
1962,0,10,14,79,705.061191,1206.310223,6,0,14.37027376,365,100,41,3592.568439,Aandhikhola
1963,0,8,15,75,280.369773,1292.406148,0,0,12.95305424,365,97,46,3497.324644,Aandhikhola
1964,0,22,24,110,884.813396,1985.71196,54,9,19.92853756,366,98,54,4045.493125,Aandhikhola
1965,0,22,19,111,321.5618466,1087.360399,31,22,14.86831955,365,84,45,3107.478786,Aandhikhola
1966,0,7,25,103,755.6991918,2182.496872,60,0,18.47530039,365,85,52,3805.911881,Aandhikhola
1967,0,11,21,121,792.4910815,1693.954356,11,22,14.75720592,365,82,42,3600.758243,Aandhikhola
1968,0,19,14,117,901.4777676,2095.091362,17,11,16.01139062,366,92,49,4034.870437,Aandhikhola
1969,0,14,11,122,0,354.8446128,8,0,10.37949356,365,81,36,2511.837442,Aandhikhola
1970,0,6,11,84,464.152742,1016.373982,0,0,14.65907157,365,90,47,3312.950174,Aandhikhola
1971,0,9,24,120,374.4501472,1314.541032,0,0,14.31327583,365,114,49,3807.331371,Aandhikhola
1972,0,3,16,68,277.231755,906.2366278,29,0,13.36076925,366,82,39,3006.173081,Aandhikhola
1973,0,8,24,109,463.0774785,1487.574623,29,0,15.21231871,365,88,50,3620.531854,Aandhikhola
1974,0,14,40,64,362.970175,1083.299416,16,21,13.41022523,365,91,39,3325.735857,Aandhikhola
1975,0,16,19,123,232.0661574,1581.777012,15,7,15.26250961,365,95,56,3754.577365,Aandhikhola
1976,0,7,11,127,277.2268716,926.9811477,0,0,12.87286921,366,79,44,3192.471564,Aandhikhola
1977,0,10,13,88,0,772.020265,0,0,11.0445295,365,81,45,3059.334671,Aandhikhola
1978,0,20,8,85,846.0589038,1286.63918,0,8,14.78164037,356,95,49,3724.973374,Aandhikhola
1979,0,13,16,43,150.7337866,926.1807391,18,16,12.98433979,365,72,46,2908.492113,Aandhikhola
1980,0,15,15,130,128.693372,405.7713712,20,6,11.24282877,366,85,38,2630.821932,Aandhikhola
1981,0,18,15,93,276.59691,971.6026108,0,10,12.60080896,365,90,42,3377.016801,Aandhikhola
1982,0,8,16,93,115.271825,763.0272874,0,10,11.2722862,365,86,36,2919.522127,Aandhikhola
1983,0,20,18,51,237.9237252,814.7196526,7,6,11.28403943,365,81,38,2854.861975,Aandhikhola
1984,0,23,13,129,414.0648452,1484.453829,26,13,15.24944603,366,91,51,3705.615386,Aandhikhola
1985,0,18,12,96,128.537331,639.7739374,18,6,11.33439729,365,73,42,2810.930528,Aandhikhola
1986,0,21,13,58,449.964454,731.200632,8,21,12.44244526,365,88,45,3035.956644,Aandhikhola
1987,0,8,15,60,252.4950958,1003.094833,24,7,12.33121146,365,83,37,3033.478019,Aandhikhola
1988,0,1,21,114,481.092362,1458.990807,9,8,14.85382439,366,81,46,3535.210205,Aandhikhola
1989,0,13,23,103,493.134153,1057.856643,18,9,13.54123092,365,87,41,3236.354191,Aandhikhola
1990,0,6,19,103,547.9816294,1250.481253,0,0,13.31493653,365,102,39,3568.40299,Aandhikhola
1991,0,13,13,79,261.040396,881.7430566,6,0,12.79699172,362,87,39,3135.262971,Aandhikhola
1992,0,10,17,110,105.276543,543.0023104,7,6,10.06999353,365,77,25,2507.428388,Aandhikhola
1993,0,1,8,94,499.4054266,1211.127636,0,0,13.49613523,365,107,46,3846.398541,Aandhikhola
1994,0,21,14,101,135.453635,647.2131292,15,8,10.28114013,365,74,27,2498.317052,Aandhikhola
1995,0,17,11,102,243.5306756,915.3980326,14,8,12.2111229,365,84,37,3052.780724,Aandhikhola
1996,0,9,20,114,371.131713,1208.930876,0,0,12.80008443,366,84,44,3366.422205,Aandhikhola
1997,0,12,11,83,255.3560704,730.4156968,0,12,11.732279,365,80,35,3015.195704,Aandhikhola
1998,0,5,18,89,124.792534,1304.401502,21,0,15.61932532,365,97,61,3936.06998,Aandhikhola
1999,0,7,22,73,143.966229,858.136708,38,0,12.73635506,365,83,38,2776.525402,Aandhikhola
2000,0,18,19,117,141.680342,736.739448,0,8,12.48436476,366,101,50,3433.200309,Aandhikhola
2001,0,5,14,123,266.045815,694.5842922,0,0,11.1382175,365,83,28,2740.001505,Aandhikhola
2002,0,8,14,101,144.040162,749.8768202,0,0,11.71558274,365,82,43,3128.060593,Aandhikhola
