"Municipality","Index","Sensitivity_Slope","MK_P_Value"
"Aandhikhola","ice_days",0,NA
"Aandhikhola","frost_days",-0.138409961685824,0.000231413452974351
"Aandhikhola","cdd",0,0.494166637860777
"Aandhikhola","cwd",-0.0769230769230769,0.610206871199718
"Aandhikhola","r99p",-3.32099764192546,0.0222532822403386
"Aandhikhola","r95p",-5.522364290625,0.0198705821745036
"Aandhikhola","wsdi",-0.119168356997972,0.0145271018731016
"Aandhikhola","csdi",0,0.00666550886886918
"Aandhikhola","sdii",-0.020113373614082,0.0873252685547746
"Aandhikhola","gsl",0,0.586929906794116
"Aandhikhola","r10mm",-0.0357142857142857,0.590199279929912
"Aandhikhola","r20mm",-0.0444444444444444,0.359866796637925
"Aandhikhola","prcptot",-5.48900616111111,0.0561722332837772
"Aarughat","ice_days",0,NA
"Aarughat","frost_days",-0.321091644204852,3.38751587482086e-07
"Aarughat","cdd",0.0555555555555556,0.0508174964023487
"Aarughat","cwd",0.127659574468085,0.347994981535868
"Aarughat","r99p",-2.4068776197028,0.0666768168489871
"Aarughat","r95p",-1.72824531807018,0.358027061193482
"Aarughat","wsdi",0,0.244429785889364
"Aarughat","csdi",0,0.00675944030876478
"Aarughat","sdii",-0.00900012913825758,0.328926207996016
"Aarughat","gsl",0.428571428571429,0.00363741565873709
"Aarughat","r10mm",-0.111111111111111,0.152787269313463
"Aarughat","r20mm",-0.0579831932773109,0.205851760912783
"Aarughat","prcptot",-2.91667227777778,0.180825831582201
"Ajirkot","ice_days",0,0.592989263343429
"Ajirkot","frost_days",-0.25,0.00145425352096378
"Ajirkot","cdd",0.0277777777777778,0.439599368973487
"Ajirkot","cwd",0.283882783882784,0.0414179962327931
"Ajirkot","r99p",-3.26127524142857,0.0139479110734551
"Ajirkot","r95p",-3.12924037413714,0.131130012299558
"Ajirkot","wsdi",0,0.264668612712362
"Ajirkot","csdi",0,0.000412579102655546
"Ajirkot","sdii",-0.0204782128558798,0.0170359606562294
"Ajirkot","gsl",0.225707547169811,0.0112210047510138
"Ajirkot","r10mm",-0.142857142857143,0.0672245381113981
"Ajirkot","r20mm",-0.1,0.0499466765232743
"Ajirkot","prcptot",-4.81396529999999,0.0174822135492395
"Anbukhaireni","ice_days",0,NA
"Anbukhaireni","frost_days",0,0.021282784894802
"Anbukhaireni","cdd",-0.0971675845790716,0.183611297130323
"Anbukhaireni","cwd",-0.350675675675676,0.0236642079681894
