"Municipality","Index","Sensitivity_Slope","MK_P_Value"
"Aandhikhola","tx10p",-0.00029542381278184,0.00208389684960887
"Aandhikhola","tx90p",0,0.115534522758932
"Aandhikhola","tn90p",0.00440308804853638,8.88531919620855e-12
"Aandhikhola","txx",4.4229108155548e-05,0.924565550427775
"Aandhikhola","txn",0.000370528329506314,0.375163947278898
"Aandhikhola","tnn",0.00121638585118361,0.157287479194437
"Aandhikhola","tnx",0.000735224534798536,0.0919417622618792
"Aandhikhola","dtr",-0.000972691101195897,0.0359896420037133
"Aandhikhola","rx1day",0.00085258197388213,0.776989940349844
"Aandhikhola","rx5day",0.000305687717299451,0.967815856280113
"Aarughat","tx10p",-0.00343494346252228,1.62413256183966e-06
"Aarughat","tx90p",0,6.61021266599366e-05
"Aarughat","tn90p",0.00244379276136364,2.21617935898535e-06
"Aarughat","txx",0.000272220854343779,0.488767210528437
"Aarughat","txn",0.000654058788770057,0.162927343209545
"Aarughat","tnn",0.000956244137877373,0.300859842921426
"Aarughat","tnx",0.000459464113011403,0.266514603060517
"Aarughat","dtr",-0.000594902669296958,0.120592489351137
"Aarughat","rx1day",-0.000238291421546416,0.929066425922838
"Aarughat","rx5day",-0.00174240151360544,0.801822869604908
"Ajirkot","tx10p",0,0.00787400956619543
"Ajirkot","tx90p",0,0.00219276899766364
"Ajirkot","tn90p",0.000557134100172712,2.2503936588579e-05
"Ajirkot","txx",0.000253190272183333,0.551660085225053
"Ajirkot","txn",0.000508690509344929,0.33327534455
"Ajirkot","tnn",0.000839375303935044,0.374417387739658
"Ajirkot","tnx",0.00060893434044309,0.174002605287903
"Ajirkot","dtr",-0.000435190736008545,0.165098764273152
"Ajirkot","rx1day",-0.00127851775446346,0.599273065426433
"Ajirkot","rx5day",-0.00439061005993516,0.462663279281779
"Anbukhaireni","tx10p",-0.000698458505888652,0.000200391410890139
"Anbukhaireni","tx90p",0,0.262883188797774
"Anbukhaireni","tn90p",0.00561009818,1.17923176158439e-12
"Anbukhaireni","txx",0.000125004515869531,0.790225399704273
"Anbukhaireni","txn",0.000387501842948713,0.382302057328288
"Anbukhaireni","tnn",0.00102010621279893,0.146389104322404
"Anbukhaireni","tnx",0.000697226792858059,0.151532775039324
"Anbukhaireni","dtr",-0.00099710865889029,0.0179164686383565
"Anbukhaireni","rx1day",0.000435547102826469,0.815528159029016
"Anbukhaireni","rx5day",-0.00213592136326109,0.640702810267246
"Annapurna","tx10p",-0.00641313409840954,2.59248447661542e-10
"Annapurna","tx90p",0,8.78316384175795e-14
"Annapurna","tn90p",0.000393061231695423,2.38397120164919e-18
"Annapurna","txx",0.0013167102174222,0.00511102945747677
"Annapurna","txn",0.00121468466261809,0.0600546936970399
"Annapurna","tnn",0.00143410595525892,0.143266512720057
"Annapurna","tnx",0.00151781090899756,0.00257972829183834
"Annapurna","dtr",-0.000425177620566547,0.158171599677254
"Annapurna","rx1day",-0.00149417624022141,0.453905598182488
"Annapurna","rx5day",-0.00600840697774109,0.222804594012878
"Arjunchaupari","tx10p",-0.000328962572838066,0.000955965558908259
"Arjunchaupari","tx90p",0,0.0396895259817192
"Arjunchaupari","tn90p",0.00517608533984912,1.25658476213331e-13
"Arjunchaupari","txx",9.95695049857545e-05,0.829650636803616
"Arjunchaupari","txn",0.000405149222686637,0.327531268342885
"Arjunchaupari","tnn",0.00120849786594644,0.152657428204001
"Arjunchaupari","tnx",0.000759302261080622,0.0763261275541149
"Arjunchaupari","dtr",-0.000944121743297359,0.038280223226078
"Arjunchaupari","rx1day",0.000758642083529968,0.808623371805767
"Arjunchaupari","rx5day",-0.000428496418653683,0.953811984084115
"Badigad","tx10p",-0.0007869750964436,0.000363694984603378
"Badigad","tx90p",0,0.003049766520783
"Badigad","tn90p",0.000568869565761785,2.71264221090212e-12
"Badigad","txx",0.000281669792449214,0.51266236889825
"Badigad","txn",0.000610715339601561,0.198226628140226
"Badigad","tnn",0.00106974139788574,0.199276855411061
"Badigad","tnx",0.0008770541886438,0.0311917339618396
"Badigad","dtr",-0.000695301837508294,0.0752962904944526
"Badigad","rx1day",-0.000626282751423151,0.780536917982331
"Badigad","rx5day",-0.000931468867335558,0.865870753766627
"Baglung","tx10p",-0.00372162452883276,1.09754327683379e-06
"Baglung","tx90p",0,2.67142590927252e-05
"Baglung","tn90p",0.00549559858111857,1.57355005164999e-18
"Baglung","txx",0.000324329908409231,0.442902211019554
"Baglung","txn",0.000708565445731226,0.107882457804886
"Baglung","tnn",0.00125386059758759,0.166298755346598
"Baglung","tnx",0.0010316181672427,0.0149644834507112
"Baglung","dtr",-0.000819057638500493,0.0656769553634946
"Baglung","rx1day",-0.000612815482532354,0.79905322847425
"Baglung","rx5day",-0.00316372878896972,0.560658530614074
"Bandipur","tx10p",0,0.00197150279742058
"Bandipur","tx90p",0,0.56969881850413
"Bandipur","tn90p",0.00542073221716287,1.32116270029463e-11
"Bandipur","txx",8.48856991680083e-05,0.862961694084964
"Bandipur","txn",0.000320069852761479,0.478877296679505
"Bandipur","tnn",0.00100616789760213,0.154322852994005
